sample,Colony,plate,SOD,run
1_2_31,2,P1,1.145570352,I
1_31_30,31,P2,1.43484204,I
1_1_29,1,P3,0.620845247,II
1_12_25,12,P4,0.579471415,II
1_2_11,2,P2,2.248468396,II
1_23_35,23,P3,0.804898948,II
1_24_5,24,P4,0.789461768,II
1_3_23,3,P4,1.30436989,II
1_32_21,32,P2,0.808913652,II
1_4_19,4,P3,0.74670189,II
1_5_32,5,P2,0.752784968,II
1_1_2,1,P1,0.481801477,III
1_12_17,12,P3,0.329044636,III
1_2_2,2,P1,0.716220674,III
1_23_25,23,P1,0.716220674,III
1_24_23,24,P3,0.88802373,III
1_3_6,3,P3,1.211171428,III
1_31_38,31,P2,0.38078619,III
1_32_15,32,P1,1.197848922,III
1_4_28,4,P2,0.260056599,III
1_5_14,5,P1,0.471170386,III
1_1_26,1,P3,0.301561,IV
1_12_64,12,P4,0.82884482,IV
1_2_1,2,P2,0.536484262,IV
1_23_31,23,P3,0.993933285,IV
1_24_28,24,P4,0.926667497,IV
1_3_31,3,P4,2.120020465,IV
1_31_23,31,P3,1.086720342,IV
1_32_14,32,P2,0.953359803,IV
1_4_20,4,P3,0.628447339,IV
1_5_22,5,P2,0.934216682,IV
1_1_55,1,P1,1.224876174,V
1_12_27,12,P3,0.765803373,V
1_2_10,2,P1,0.813851055,V
1_23_36,23,P1,0.674685159,V
1_24_16,24,P3,0.858876776,V
1_3_24,3,P3,2.45338908,V
1_31_40,31,P2,0.832214103,V
1_32_35,32,P1,0.96806663,V
1_4_31,4,P2,0.782363271,V
1_5_12,5,P1,0.808913652,V
1_1_23,1,P1,0.575317111,VI
1_12_22,12,P3,0.744362299,VI
1_23_32,23,P1,0.738347283,VI
1_24_13,24,P3,0.884428497,VI
1_3_16,3,P3,2.052321068,VI
1_31_16,31,P3,0.799128526,VI
1_32_61,32,P1,0.908060348,VI
1_4_30,4,P2,0.830527753,VI
1_5_15,5,P1,0.668490915,VI
1_1_33,1,P3,1.241013997,VII
1_12_38,12,P4,1.089927675,VII
1_2_22,2,P2,0.932323639,VII
1_23_6,23,P3,0.936113568,VII
1_24_15,24,P4,0.957235244,VII
1_3_12,3,P4,0.980820971,VII
1_31_1,31,P3,1.036035491,VII
1_32_63,32,P2,0.959178868,VII
1_4_34,4,P3,0.988811321,VII
1_5_36,5,P2,1.144299755,VII
