,Date,Plate,Temperature,Well,Row,Column,diversity_level,color,colony,outcome,duration,site
1,7262018,PlateC1,Ambient,A1,A,1,1,R,841,1,2,47
2,7262018,PlateC1,Ambient,B1,B,1,1,R,841,1,2,47
3,7262018,PlateC1,Ambient,C1,C,1,1,R,841,1,2,47
4,7262018,PlateC1,Ambient,D1,D,1,1,R,841,1,2,47
5,7262018,PlateC1,Ambient,E1,E,1,1,R,841,1,2,47
6,7262018,PlateC1,Ambient,F1,F,1,1,R,841,1,2,47
7,7262018,PlateC1,Ambient,G1,G,1,1,R,841,1,2,47
8,7262018,PlateC1,Ambient,H1,H,1,1,R,841,1,2,47
9,7262018,PlateC1,Ambient,A2,A,2,1,B,804,1,2,42
10,7262018,PlateC1,Ambient,B2,B,2,1,B,804,1,2,42
11,7262018,PlateC1,Ambient,C2,C,2,1,B,804,1,2,42
12,7262018,PlateC1,Ambient,D2,D,2,1,B,804,1,2,42
13,7262018,PlateC1,Ambient,E2,E,2,1,B,804,1,2,42
14,7262018,PlateC1,Ambient,F2,F,2,1,B,804,1,2,42
15,7262018,PlateC1,Ambient,G2,G,2,1,B,804,1,2,42
16,7262018,PlateC1,Ambient,H2,H,2,1,B,804,1,2,42
17,7262018,PlateC1,Ambient,A3,A,3,1,Y,750,1,2,10
18,7262018,PlateC1,Ambient,B3,B,3,1,Y,750,1,2,10
19,7262018,PlateC1,Ambient,C3,C,3,1,Y,750,1,2,10
20,7262018,PlateC1,Ambient,D3,D,3,1,Y,750,1,2,10
21,7262018,PlateC1,Ambient,E3,E,3,1,Y,750,1,2,10
22,7262018,PlateC1,Ambient,F3,F,3,1,Y,750,1,2,10
23,7262018,PlateC1,Ambient,G3,G,3,1,Y,750,1,2,10
24,7262018,PlateC1,Ambient,H3,H,3,1,Y,750,1,2,10
25,7262018,PlateC1,Ambient,A4,A,4,1,R,841,1,2,47
26,7262018,PlateC1,Ambient,B4,B,4,1,R,841,1,2,47
27,7262018,PlateC1,Ambient,C4,C,4,1,R,841,1,2,47
28,7262018,PlateC1,Ambient,D4,D,4,1,R,841,1,2,47
29,7262018,PlateC1,Ambient,E4,E,4,1,R,841,1,2,47
30,7262018,PlateC1,Ambient,F4,F,4,1,R,841,1,2,47
31,7262018,PlateC1,Ambient,G4,G,4,1,R,841,1,2,47
32,7262018,PlateC1,Ambient,H4,H,4,1,R,841,1,2,47
33,7262018,PlateC1,Ambient,A5,A,5,1,B,804,1,2,42
34,7262018,PlateC1,Ambient,B5,B,5,1,B,804,1,2,42
35,7262018,PlateC1,Ambient,C5,C,5,1,B,804,1,2,42
36,7262018,PlateC1,Ambient,D5,D,5,1,B,804,1,2,42
37,7262018,PlateC1,Ambient,E5,E,5,1,B,804,1,2,42
38,7262018,PlateC1,Ambient,F5,F,5,1,B,804,1,2,42
39,7262018,PlateC1,Ambient,G5,G,5,1,B,804,1,2,42
40,7262018,PlateC1,Ambient,H5,H,5,1,B,804,1,2,42
41,7262018,PlateC1,Ambient,A6,A,6,1,Y,750,1,2,10
42,7262018,PlateC1,Ambient,B6,B,6,1,Y,750,1,2,10
43,7262018,PlateC1,Ambient,C6,C,6,1,Y,750,1,2,10
44,7262018,PlateC1,Ambient,D6,D,6,1,Y,750,1,2,10
45,7262018,PlateC1,Ambient,E6,E,6,1,Y,750,1,2,10
46,7262018,PlateC1,Ambient,F6,F,6,1,Y,750,1,2,10
47,7262018,PlateC1,Ambient,G6,G,6,1,Y,750,1,2,10
48,7262018,PlateC1,Ambient,H6,H,6,1,Y,750,1,2,10
49,7262018,PlateC1,Ambient,A7,A,7,3,R,841,1,2,47
50,7262018,PlateC1,Ambient,B7,B,7,3,R,841,1,2,47
51,7262018,PlateC1,Ambient,D7,D,7,3,R,841,1,2,47
52,7262018,PlateC1,Ambient,E7,E,7,3,R,841,1,2,47
53,7262018,PlateC1,Ambient,F7,F,7,3,R,841,1,2,47
54,7262018,PlateC1,Ambient,G7,G,7,3,R,841,1,2,47
55,7262018,PlateC1,Ambient,H7,H,7,3,R,841,1,2,47
56,7262018,PlateC1,Ambient,A8,A,8,3,R,841,1,2,47
57,7262018,PlateC1,Ambient,B8,B,8,3,R,841,1,2,47
58,7262018,PlateC1,Ambient,C8,C,8,3,R,841,1,2,47
59,7262018,PlateC1,Ambient,E8,E,8,3,R,841,1,2,47
60,7262018,PlateC1,Ambient,F8,F,8,3,R,841,1,2,47
61,7262018,PlateC1,Ambient,G8,G,8,3,R,841,1,2,47
62,7262018,PlateC1,Ambient,H8,H,8,3,R,841,1,2,47
63,7262018,PlateC1,Ambient,A9,A,9,3,R,841,1,2,47
64,7262018,PlateC1,Ambient,B9,B,9,3,R,841,1,2,47
65,7262018,PlateC1,Ambient,C9,C,9,3,R,841,1,2,47
66,7262018,PlateC1,Ambient,D9,D,9,3,B,804,1,2,42
67,7262018,PlateC1,Ambient,E9,E,9,3,R,841,1,2,47
68,7262018,PlateC1,Ambient,F9,F,9,3,R,841,1,2,47
69,7262018,PlateC1,Ambient,G9,G,9,3,R,841,1,2,47
70,7262018,PlateC1,Ambient,H9,H,9,3,R,841,1,2,47
71,7262018,PlateC1,Ambient,A10,A,10,3,R,841,1,2,47
72,7262018,PlateC1,Ambient,B10,B,10,3,R,841,1,2,47
73,7262018,PlateC1,Ambient,C10,C,10,3,R,841,1,2,47
74,7262018,PlateC1,Ambient,D10,D,10,3,R,841,1,2,47
75,7262018,PlateC1,Ambient,E10,E,10,3,R,841,1,2,47
76,7262018,PlateC1,Ambient,F10,F,10,3,R,841,1,2,47
77,7262018,PlateC1,Ambient,G10,G,10,3,R,841,1,2,47
78,7262018,PlateC1,Ambient,H10,H,10,3,R,841,1,2,47
79,7262018,PlateC1,Ambient,A11,A,11,3,R,841,1,2,47
80,7262018,PlateC1,Ambient,B11,B,11,3,R,841,1,2,47
81,7262018,PlateC1,Ambient,C11,C,11,3,R,841,1,2,47
82,7262018,PlateC1,Ambient,D11,D,11,3,R,841,1,2,47
83,7262018,PlateC1,Ambient,E11,E,11,3,R,841,1,2,47
84,7262018,PlateC1,Ambient,F11,F,11,3,R,841,1,2,47
85,7262018,PlateC1,Ambient,G11,G,11,3,R,841,1,2,47
86,7262018,PlateC1,Ambient,H11,H,11,3,R,841,1,2,47
87,7262018,PlateC1,Ambient,A12,A,12,3,R,841,1,2,47
88,7262018,PlateC1,Ambient,B12,B,12,3,R,841,1,2,47
89,7262018,PlateC1,Ambient,C12,C,12,3,R,841,1,2,47
90,7262018,PlateC1,Ambient,D12,D,12,3,R,841,1,2,47
91,7262018,PlateC1,Ambient,E12,E,12,3,R,841,1,2,47
92,7262018,PlateC1,Ambient,F12,F,12,3,R,841,1,2,47
93,7262018,PlateC1,Ambient,G12,G,12,3,R,841,1,2,47
94,7262018,PlateC1,Ambient,H12,H,12,3,Y,750,1,2,10
95,7262018,PlateC2,Ambient,A1,A,1,1,R,841,1,2,47
96,7262018,PlateC2,Ambient,B1,B,1,1,R,841,1,2,47
97,7262018,PlateC2,Ambient,C1,C,1,1,R,841,1,2,47
98,7262018,PlateC2,Ambient,D1,D,1,1,R,841,1,2,47
99,7262018,PlateC2,Ambient,E1,E,1,1,R,841,1,2,47
100,7262018,PlateC2,Ambient,F1,F,1,1,R,841,1,2,47
101,7262018,PlateC2,Ambient,G1,G,1,1,R,841,1,2,47
102,7262018,PlateC2,Ambient,H1,H,1,1,R,841,1,2,47
