"","Genotype","Temperature","N_Genotypes","Diverse","Single","Metric","Stage"
"1","1","Ambient",5,0.1572222293,0.236302239631579,"Growth","Adult"
"2","1","High",5,0.0468451624,0.1503855186,"Growth","Adult"
"3","ClusterC","Ambient",5,0.115813829205128,0.112469783346154,"Growth","Adult"
"4","ClusterC","High",5,0.0788651084871795,0.0111875013291139,"Growth","Adult"
"5","ClusterA","Ambient",5,0.112141632,0.0817680590204082,"Growth","Adult"
"6","ClusterA","High",5,0.0126173168965517,-0.00856495803333333,"Growth","Adult"
"7","4","Ambient",5,0.1997288723,0.1911002024,"Growth","Adult"
"8","4","High",5,0.008393924,0.02430676475,"Growth","Adult"
"9","23","Ambient",5,0.155033941222222,0.0546781969,"Growth","Adult"
"10","23","High",5,-0.0537584832222222,0.0724190257,"Growth","Adult"
